"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Tenemos una jornada que esperamos sea breve, concisa, pero además estratégica. Se presenta hoy el programa de trabajo de CONACES 25 26 y el calendario de sesiones respectivo, lo que seguramente nos señalará la ruta con tiempos y formas de los puntos de arriba hacia donde tenemos que dirigirnos."
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Finalmente quiero simplemente refrendar que desde la ANUIES tenemos un compromiso sólido con este Consejo Nacional que se reúne frecuentemente. Aquí están el talento nacionalen todas las autoridades educativas de nuestro país. Aquí es donde se toman las grandes decisiones de la política educativa del país y me da muchísimo gusto por ello que podamos tener esta importante sesión. Siéntense en casa, por favor. Es un placer tenerles aquí en la ANUIES. Muy buenos días y muchas gracias."
Presentador,"Agradecemos la gentil bienvenida del secretario general ejecutivo de la ANUIES. Y ahora, para dar inicio a la decimoquinta sesión ordinaria del CONACES, damos la palabra al secretariado técnico conjunto de este órgano colegiado."
Presentador,"Hace uso de la voz el subsecretario de Educación Superior, doctor Ricardo Villanueva Lomelí. Muchas gracias."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Muchas gracias. Bueno, pues muy buenos días a todos. Efectivamente, como ya dijo Luis, me estoy estrenando, en esto, pero como lo vamos a hacer al limón, este, y Luis ya tiene experiencia, entonces ahí nos vamos a ir ayudando a dirigir esta primera sesión de CONACES, lo cual verdaderamente me da mucho gusto. Efectivamente, que empecemos los trabajos, o discutamos el plan de trabajo 2025-2026, que será uno de los temas que vamos a abordar el día de hoy. Y bueno, bienvenidas a todas y todos a esta decimoquinta sesión ordinaria de este Consejo Nacional para la Coordinación de la Educación Superior."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Y bueno, por instrucciones del señor secretario y coordinador de este órgano, iniciamos los trabajos y aprovecho para pedir una disculpa, Mario estaba programado para estar el día de hoy aquí, pero fue convocado a la Secretaría de Gobernación, por lo cual pide una disculpa que no nos pueda acompañar personalmente. Hasta hace una hora estaba en su agenda que nos pudiera acompañar el día de hoy, pero bueno, a nombre del secretario pido una disculpa. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Pero iniciamos con el primer punto del orden del día, que es la verificación del quórum legal y, en su caso, la instalación y, al respecto, les informo que de conformidad como lo establece el artículo 52 de la Ley General de Educación Superior, respecto a las y los integrantes de este consejo, con lo que nos informan con la presencia que tenemos tanto presencial como en línea, existe quórum legal para la instalación de la decimoquinta sesión ordinaria del Consejo Nacional para la Coordinación de la Educación Superior, por lo que los acuerdos que aquí se tomen tendrán toda la validez legal y serán de pleno derecho."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",Solicitamos si se puede proyectar la propuesta de acuerdo correspondiente a este primer punto que es del orden del día.
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Primero las votaciones negativas y luego las abstenciones, entendiéndose que si no hay votos en estos sentidos, se presume que todos los demás están a favor. Y bueno, también recordarles que la carpeta y el orden del día les fue enviado con antelación, por lo cual ya todos los miembros de este consejo tienen la carpeta previamente. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces, el primer acuerdo que queremos tomar es el S.O.CONACES.15A.1 que dice: Los integrantes del Consejo Nacional para la Coordinación de la Educación Superior (CONACES) aprueban por unanimidad de los presentes la instalación de su Decimoquinta Sesión Ordinaria al existir el quórum legal para sesionar. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Con respecto a este primer punto de acuerdo que se está proyectando en este momento, les pregunto, como les dije, vamos a hacerlo al revés para hacerlo más fácil para los que estamos en línea, si hubiera algún voto en contra a este acuerdo."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",¿Alguna abstención?
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces, al no haber ninguna negativa ni ninguna abstención, lo declaramos aprobado por unanimidad para que se registre el acuerdo, por favor."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Pasamos al siguiente punto del orden del día que corresponde a la lectura y aprobación de la propuesta del orden del día de la decimoquinta sesión ordinaria del CONACES que les fue remitida previamente, por lo cual les solicito que podamos dispensar la lectura ya que todos ustedes tuvieron previamente el acta y yo simplemente quisiera preguntarles si existe algún comentario en particular respecto al acta que les fue enviada."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","De no haber ningún comentario en particular, les consulto de igual manera si es de aprobarse la propuesta del orden del día de la presente reunión y lo volvemos a someter a su consideración el siguiente acuerdo. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Acuerdo S.O.CONACES.15ª.2: El CONACES aprueba por unanimidad de los presentes en todos y cada uno de sus puntos, el Orden del día de su Decimoquinta Sesión Ordinaria. Ese sería el punto de acuerdo. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",Les pregunto si alguien está en contra. ¿Ningún voto en contra? 
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",¿Alguna abstención?
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",De no haber votos en contra ni abstenciones se declara también aprobado este punto del orden del día y se declara aprobada el orden del día y solicitamos que se registre este acuerdo.
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Teníamos agendado un mensaje de parte del secretario Mario Delgado, pero bueno por lo mismo por la falta de su presencia ese punto no lo vamos a poder desahogar por este momento, pero pasaríamos al siguiente mensaje que teníamos programado para esta sesión y que nos da muchísimo gusto que nos pueda acompañar el día de hoy la doctora Rosaura Ruiz Gutiérrez para que nos pueda brindar un mensaje y bueno pues le pediríamos a la secretaria de ciencia humanidades tecnología e innovación si nos puede dirigir un mensaje a esta asamblea."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Muchas gracias. Muchas gracias, Ricardo. Con mucho gusto. Buenos días todos y todas. Bueno saludo. Gracias por la anfitriónía, Luis Armando, gracias, Tania, a todos. Muchas gracias por acompañarme aquí muchas bienvenidos todos y todas."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Hay algunos temas que creo que son importantes de revisar además del plan, es parte del plan que se está aprobando. Es que por ejemplo hay varias redes, se acuerdan que todo lo que hemos estado trabajando el sexenio pasado particularmente. Y entonces en el Consejo Nacional para la Coordinación de la Educación Superior, la CONACES, se entrelazan diferentes figuras, como la Comisión Estatal para la Coordinación de la Educación Superior, los COEPES; El espacio común de Educación Superior, ECOES; La red ECOS también está parte de este."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Entonces sugiero que se revisen todos los esquemas de articulación de estas entidades para saber exactamente cómo vamos a diferenciar lo que haga ECOES, lo que haga ECOS y lo que haga cada una de las COEPES. Entonces, por ejemplo, la Ciudad de México, la COEPES incorporó las actividades de investigación científica y tecnológica."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Entonces yo creo que esto debería de ser general para que la COEPES también pueda planear o sea, cuál es la idea que aquí, es sencillamente que en la educación superior es donde se produce la principal aportación a la ciencia, la tecnología y la innovación, también a las humanidades, por supuesto. Entonces que ese reconocimiento se haga en todos los estados y que también aquí puedan participar en este consejo todas las dependencias responsables de estos dos temas, educación y ciencia."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Porque hay, o sea, ustedes saben en los estados hay diferentes condiciones, por ejemplo, hay varias secretarías de educación, como es el caso de Ciudad de México, pero hay otras. Hay varias SECIHTIS que reproducen el modelo del país, el modelo nacional y hay otros que tienen dos secretarías, educación y ciencia."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Entonces mi propuesta es que vengan cuando sea uno no hay ningún problema, pero cuando son dos que vengan los dos para que también aquí esté representada esa parte que me parece fundamental en el desarrollo de la educación superior, que es muy obvio, la ciencia, la tecnología, etcétera. Entonces eso lo propongo, pero no digo que se aprueba por obvia resolución porque eso ya ha provocado muchos problemas en la historia de México. No, es que sí se aprobó por obvia resolución el aumento de las cuotas en con este con la en la UNAM y luego vino el CU que ya llegó a la presidencia, o sea, por eso mejor cuidado."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Entonces en la carpeta que recibieron para esta sesión ordinaria está el programa de trabajo, ahí lo tenemos. Ahí mismo se hace la revisión que la presenté como la responsable en el en la en el sexenio anterior de la revisión de instrumentación del impulso a la investigación científico humanística y al desarrollo tecnológico. Ese grupo lo coordiné y entonces creo que hoy tiene que haber eh otra persona que lo coordine."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Como ustedes saben además la SECIHTI, también bueno ahora la SECIHTI, así la vamos a llamar para que no sea tan largo el nombre. La SECIHTI es la institución del gobierno de México que formula y conduce la política nacional en la materia. Entonces por eso hago esta propuesta de construir un sistema nacional científico humanístico tecnológico y de innovación del país como con conjunto de todos los secretarios, etcétera que acabo de señalar."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.",Al respecto una de las atribuciones de la nueva secretaría es fomentar la recíproca vinculación entre el sistema nacional de CHTI y el de educación superior que es que es un órgano que está tiene esa esa intención también. Por ello celebro estar aquí para compartir con ustedes algunas de las políticas que hemos implementado y que sin duda requieren de la participación activa de las instituciones que todos ustedes representan.
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Hemos dado un fuerte impulso a la investigación científica y humanística y al fomento del desarrollo tecnológico y la innovación, a través de las diferentes convocatorias que se emitieron este año, de las que seguro estuvieron pendientes y todos están participando con sus con todos sus colegas del SNII de los proyectos de investigación, etcétera. Además pronto vamos a presentar una nueva convocatoria para investigadores por México, ya la verán, se los se los anunciaremos previamente."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Entonces dentro de ellas resaltan los proyectos de investigación científica y humanística de ciencia básica y de frontera, entre las convocatorias de ciencia básica y de frontera, la de maduración de transferencia tecnología, esta convocatoria es la primera vez que sé que se presenta en México, la de maduración y transferencia de tecnología y también una convocatoria para el apoyo al registro de patentes nacionales. Son dos convocatorias que también están ahorita en revisión."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Hubo una gran participación por parte de las universidades, los centros públicos de investigación y los centros públicos que pertenecen a la SECIHTI y también de la FLACSO y el ColMex entre otros, o sea hubo una participación muy intensa."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Otro de los puntos que aborda el programa de trabajo del CONACES es la definición e implementación del espacio común de la educación superior, del ECOES, se acuerdan que también estuvimos trabajando en ello. En el seno del CONACES se aprobó la adopción del modelo de colaboración por otro lado de la red ECOS, como decía antes tenemos esas dos redes que ahora verán cómo funcionan una y otra."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","A la fecha este modelo, el de ECOS, lo estamos llevando a nivel nacional y como se indica en el informe coordina 12 grupos de trabajo en temas como transición energética,"
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","desarrollo de satélites, sistemas aéreos no tripulados, sistemas de monitoreo metaoceánico, semiconductores, soberanía alimentaria, varios temas de salud, varios temas de medio ambiente, así como estudios filosóficos, históricos, sociales, literarios y también uno muy relevante que es la promoción y conservación de las lenguas originarias."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Por otro lado, el espacio común de educación superior ECOES, o sea es distinto ECOS y ECOES, es una instancia que incluye la movilidad estudiantil y de investigación, o sea, incluyen la movilidad de profesores, pero también de estudiantes, ¿se acuerdan? Hemos dedicado mucho tiempo a intentar realizar este proyecto, no hemos podido desarrollarlo por falta de recursos, pero espero que ahora podamos impulsarlo para que jóvenes de todo el país puedan visitar universidades de otros estados, y también para el intercambio de profesores."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Además, propusimos que ese grupo iba a promover la estructuración de programas conjuntos de posgrado y de licenciatura. Ya contamos con algunos, muy pocos, pero hemos avanzado y la normativa ya propicia su desarrollo gracias al marco nacional de cualificaciones y al sistema nacional de asignación, acumulación y transferencia de créditos académicos."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Algo que ha complicado la movilidad no son solo los recursos, que son importantes, sino también la problemática del reconocimiento de los estudios; es increíble la burocracia que tenemos. Para que reconozcan que se estudió un semestre en la Universidad de Guadalajara a alguien del Politécnico, es complicadísimo. Tenemos que lograr que haya mayor eh facilidad y también que se promueva la estructuración de títulos que tengan los logos que también hemos estado trabajando en eso. Creo que se ha avanzado algo, ya veremos."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Ahora, en relación con el posgrado que también recuerdan, fueron problemas que estuvimos discutiendo. Hay retos importantes que atender, en primer lugar, la matrícula."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","En el ciclo escolar 24-25, la matrícula del posgrado solo representó el 8% de la matrícula total de la educación superior. Es un porcentaje muy pobre realmente. Yo creo que aquí tendríamos que tener y no lo voy a hacer ahora, pero en otros momentos lo hemos dicho, una comparación con países inclusive totalmente cercanos a nosotros en términos socioeconómicos. Para ver cuántos estudiantes de licenciatura continúan con un posgrado. En México este punto es muy bajo."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Además, el 60% de instituciones de posgrados se atiende en instituciones particulares, mientras que solo el 40% en instituciones públicas. Ese es un dato que hay que tomar en cuenta y que hay que revisar y que hay que promover."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Otro dato importante es que el 68% de la matrícula se concentra en las áreas de administración, negocios, ciencias sociales y derecho, mientras que en las áreas de ciencias naturales, matemáticas, biología, física, química, solamente representa junto con la con la ingeniería el 10%, no llega exactamente al 10%. Eso sí lo quiero señalar porque tenemos que buscar que se mejore la participación de los y las jóvenes en ciencias básicas, en ciencias naturales y también en filosofía, historia, etcétera. O sea, ahí tenemos también un problema en la matrícula, no solo en lo pequeño, sino además todavía la distribución de las áreas."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","En conjunto con la SEP estamos trabajando el proceso de revisión del actual sistema nacional de posgrados. Hasta ahora tenemos algunos acuerdos, de una vez les adelanto que pensamos hacer foros para que se entienda y para que se opine sobre cómo se va a reorganizar el posgrado. Eso me parece relevante decirlo, no simplemente la SEP y la SECIHTI proponen y ya no, sino queremos escuchar sus opiniones, queremos escuchar en los foros que cada quien organice, pensamos organizar seis, uno por región de ANUIES, para que la gente pueda opinar cómo ve toda esta problemática y qué vamos a hacer, porque estamos hablando de hacer semiconductores, satélites, queremos una computadora grande que pueda atender realmente la inteligencia artificial. Bueno, todo eso tiene que tener personas formadas en esas áreas y ya vimos cuáles son las posibilidades."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Entonces, entre los objetivos que nos hemos planteado es contribuir al desarrollo científico, humanístico y tecnológico, a través de la formación y la investigación en los posgrados, tomando en cuenta los entornos socioeconómicos y las necesidades de las diferentes regiones del país. "
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.",Promover la formación de personas capacitadas para contribuir a los estudios y la resolución de los problemas prioritarios de México. 
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Y favorecer el acceso al posgrado mediante acciones afirmativas de inclusión e igualdad sustantiva, es decir, con los grupos que siempre han sido minoritarios, en algunas áreas las mujeres, particularmente en las áreas de ciencias exactas, también en muchos temas la población indígena y afromexicana están también muy poco representadas. Ahí tenemos que ver cómo vamos a lograr una mejor representación. "
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Por otro lado tenemos que para discutir qué programas son los que se van a considerar parte de este sistema, pues hay que hacer una evaluación, naturalmente."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Entonces, aquí en la en la propuesta de evaluación reconocemos la naturaleza y la orientación de los distintos programas de posgrado. La autoevaluación de los programas, vamos a considerar la autoevaluación con toda la confianza que siempre mucho vamos a tener y que se podrá revisar a algunos casos para estar seguros de que hay una autoevaluación que se está haciendo de manera adecuada."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Luego, los aportes del programa al avance de la ciencia, a las humanidades, la tecnología y a la innovación, o sea, de cada programa, ¿qué va a hacer?"
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.",Las capacidades y características de la planta académica y su participación en el sistema nacional de investigadores e investigadoras.
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Los programas de acompañamiento a las y los estudiantes para reducir las tasas de deserción y los rezagos estructurales y la atención, incidencia y vinculación con sectores estratégicos y las acciones de distribución social."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","La valoración del posgrado se hará a través de la constitución de comisiones revisadas conformadas por expertos en el área de conocimiento del programa. Para dar a conocer a la comunidad esta propuesta, ya lo dije antes, se propone la organización de seis foros nacionales, uno en cada una de las regiones del país de Luis."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Por otro lado, para atender las problemáticas de la baja matrícula del posgrado y particularmente las áreas STEM y humanísticas, es necesario fomentar desde la educación básica las vocaciones en estas áreas. Queremos que se vinculen todos los diferentes tipos y niveles educativos para que las niñas, niños y adolescentes en educación básica y media superior tengan conocimiento de la necesidad, de la importancia y conocimientos básicos de ciencia, matemáticas, física, humanidades en su vida cotidiana y en su formación académica. "
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","El derecho a la educación no concluye con la educación superior, debe fomentarse también como una actividad formativa y de actualización a lo largo de la vida. Las competencias y habilidades que se adquieren en la educación superior en un contexto de transformación tecnológica constante deben actualizarse también, deben actualizarse permanentemente y las instituciones ofrecer las posibilidades de esa actualización."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Es por ello, que las instituciones de educación superior deben aprovechar las posibilidades de la transformación digital para ofrecer programas de educación continua. Debemos pensar también en esquemas de capacitación flexibles y accesibles como las microcredenciales, cursos de actualización de conocimientos que demanda el sector productivo y laboral en general."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","El Plan México, que es parte del Plan Nacional de Desarrollo, ha orientado la política científica y tecnológica con una serie de iniciativas como los polos del bienestar, que promueven el desarrollo económico de diferentes regiones y sectores industriales. Naturalmente, en ello tenemos que participar todos y todas las personas aquí representadas para la formación de los profesionales y, en particular, también la vinculación con las empresas."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","En el marco de los polos del bienestar, la semana pasada se publicó la convocatoria sobre incentivos fiscales, eso también es importante. Se estableció una reducción del 25% de impuestos a las empresas que inviertan en programas de educación dual y otro 25% a quienes inviertan en investigación y desarrollo."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","En fin, creo que esto es lo más relevante que quiero decirles y, por supuesto, tenemos que ver también cómo hacemos los estudios más cortos. En México, el promedio de titulación de doctorados y maestrías es muy alto. También la gente termina a edades mucho más mayores que en Europa, por ejemplo. Entonces, tenemos que ver cómo acortarlos."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Nosotros hemos planteado un programa que ya funciona en la Universidad Rosario Castellanos, como ustedes saben, la doctora Sheinbaum creó la Universidad Rosario Castellanos en el periodo que fue jefa de gobierno; esa universidad continúa y ahora se transformó en una universidad nacional y estamos creando, en todas las entidades del país, al menos una universidad Rosario Castellanos. Ojalá pudiéramos llegar a más, pero por lo pronto, una por estado."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Y entonces, en esa universidad tenemos un modelo para formar doctores desde licenciatura hasta doctorado en ocho años. Es un modelo que no es ninguna novedad que hayamos inventado en México, un modelo que ya se tiene en muchos países donde los jóvenes hacen una licenciatura de tres años, dos años de maestría y tres de doctorado."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","De manera que en ocho años tenemos doctores muy bien formados, garantizando evidentemente la calidad académica, pero que no hicieron tesis de licenciatura, tesis de maestría, sino una sola tesis de doctorado. Ese es el modelo que habrá que discutir con detalle porque es muy importante promoverlo, porque sí necesitamos para lo que queremos que pase en México esa innovación, que el desarrollo tecnológico, la economía también está basada en el desarrollo tecnológico, requiere de expertos, requiere, por ejemplo, semiconductores, requiere de gente que conozca a fondo esta problemática que tiene que ver con nada menos que con física cuántica, entonces, que no es trivial."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Entonces tenemos que tener doctores, maestros también, también tenemos que tener egresados de bachillerato que tengan esa orientación, también licenciaturas, maestrías, doctorados, pero de lo que necesitamos para este impulso a la economía nacional, necesitamos gente en esas áreas."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación.","Pero por supuesto, sin descuidar las humanidades. También de lo que necesitamos filósofos, poetas, también lingüistas, etcétera. Entonces todas las áreas que se han minimizado, que se han disminuido en los periodos anteriores, tenemos hoy que lograr que avancemos. Eso es lo que yo quería proponer. Muchas gracias. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Muchas gracias. Bueno, agradecemos muchísimo el mensaje que nos hace la secretaria y la verdad muy inspirador. A mí desde que llegué a la subsecretaría de educación superior me ha dado muchísimo gusto escuchar la visión que tiene la secretaria Rosaura Ruiz sobre cómo debemos avanzar hacia los retos que tiene el país y cómo nos vamos alineando a lo que la presidenta de la República nos ha ido pidiendo y bueno pues sí somos un binomio inseparable la educación superior, la ciencia y la tecnología, y que bueno que hoy estemos justo en CONACES tratando de armonizar la agenda que desde la SECIHTI se esté impulsando, pero también cómo desde la educación superior vamos a ir encajando esto y ahora que veamos el plan de trabajo verán cómo hace total concurrencia a lo que queremos plantear desde la subsecretaría de educación superior para que armonice con la visión que tiene la secretaría Rosaura Ruiz. Entonces muchísimas gracias. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",Y bueno para desahogar el punto cuatro y de no haber inconveniente me gustaría poder ceder el uso de la voz al secretario general ejecutivo de la ANUIES al doctor Luis Armando González Placencia como parte de este secretariado técnico conjunto del CONACES y le pediría al doctor si me ayuda con los siguientes puntos.
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Muchísimas gracias, bueno el punto número cuatro se refiere a la presentación y aprobación del orden del día. Como es costumbre el acta les fue perdón del acta de la sesión anterior, como es costumbre, el acta les fue remitida con anterioridad, así que omitiríamos su lectura si están de acuerdo y más bien les preguntaría si hay alguna observación. "
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","De no haberla. Entonces propondríamos el siguiente acuerdo, que es el acuerdo S.O. CONACES.15A.3. El CONACES da cuenta de la presentación y aprueba por unanimidad el acta de su decimocuarta sesión ordinaria. "
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Quienes estén en contra del acuerdo, por favor manifiéstenlo ahora."
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES",Abstenciones.
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Aprobamos por unanimidad, entonces el acuerdo pedimos que se registre el acuerdo, por favor."
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Y pasamos entonces al siguiente punto del orden del día, número cinco. Presentación y en su caso aprobación del seguimiento de acuerdos del CONACES."
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Me voy a permitir leerles algunos de los acuerdos de sesiones anteriores que hemos tomado en el seno de este consejo que son, perdón."
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Se va nuestra subsecretaria. Si, nos vamos a despedir tantito a la secretaria Rosalba Ruiz y ya continuamos con la sesión. Entonces un fuerte aplauso, ¿no?"
