Participante,Dialogo,,,,,,,,,,,,
Rafael Flores Mendoza,"Aquí conoceremos de los resultados de la amplia consulta realizada a diversos actores de acuerdo con lo mandatado por el artículo decimotercero transitorio de la Ley General de Educación Superior. Sin duda, las expectativas que tenían los legisladores y la propia Secretaría de Educación Pública cuando quedó asentada la conformación de dicho sistema han sido ampliamente superadas. La consulta realizada a través de cinco instrumentos que fueron los foros regionales, reuniones con expertos, especialistas y órganos de evaluación y acreditación, consulta a las autoridades educativas y aplicación de una encuesta abierta. han posibilitado la expresión de miles de actores relevantes para el diseño y conformación del sistema",,,,,,,,,,,,
Rafael Flores Mendoza,"Este realiza un ejercicio inédito en materia de evaluación, el cual se llevó a cabo gracias a la sinergia de diversas autoridades educativas, organismos y asociaciones, de manera destacada la Subsecretaría de Educación Superior, Mexicanos Primero y la propia ANUIES.",,,,,,,,,,,,
Rafael Flores Mendoza,A quienes de verdad agradecemos toda su participación y apoyo.,,,,,,,,,,,,
Rafael Flores Mendoza,"Muy ligado a este tema, también conoceremos los avances del Sistema Integral de Información de la Educación Superior, sistema que fue considerado en la consulta como un componente estratégico para que opere adecuadamente el sistema de evaluación, así como del Registro Nacional de Oferta Educativa de Educación Superior.",,,,,,,,,,,,
Rafael Flores Mendoza,"La información pública y abierta es condición indispensable para que los aspirantes a cursar un programa educativo tomen decisiones mejor orientadas y fundamentadas.
También quisiera resaltar la importancia que adquiere el inicio de los trabajos que se han realizado y uno de cuyos productos será presentado en esta sesión, referente a la conformación de un modelo de política de financiamiento que garantice la obligatoriedad y gratuidad de la educación superior.",,,,,,,,,,,,
Rafael Flores Mendoza,"En la Secretaría estamos convencidos de que para el cumplimiento de lo que establece el artículo tercero constitucional, la Ley General de Educación y, particularmente, la Ley General de Educación Superior, el Estado tiene que realizar un esfuerzo inédito en materia presupuestaria, no solo para alcanzar los parámetros de inversión pública señalados en las leyes, sino para diseñar nuevos esquemas para la asignación de recursos públicos a las instituciones de educación superior que permitan el avance gradual hacia la universalización de la educación superior, con el cierre de brechas de cobertura entre estados, regiones y territorios, e incluya en este tipo educativo a los jóvenes pertenecientes a los segmentos sociales más desfavorecidos.",,,,,,,,,,,,
Rafael Flores Mendoza,"Por último, quiero señalar la importancia de la armonización normativa con la Ley General de Educación Superior que debe darse en todos los estados y en las propias dependencias del gobierno federal. Se cuenta ya con un importante documento que se ha presentado en esta sesión.",,,,,,,,,,,,
Rafael Flores Mendoza,"La Secretaría acompañará y apoyará los trabajos que se realicen en el seno de este consejo de los COPES y de las legislaturas locales para contar con un marco jurídico armonizado con las nuevas leyes y disposiciones emanadas de la reforma constitucional en materia educativa del 15 de mayo de 2019. Entre ellas, por supuesto, la Ley General de Educación Superior.",,,,,,,,,,,,
Rafael Flores Mendoza,"Como parte de la nueva normativa, también se presentará por parte de la DGAIR el Marco Nacional de Cualificaciones y el Sistema Nacional de Asignación, Acumulación y Transferencia de Créditos Académicos, cuyo proyecto ha sido analizado por una comisión de este consejo y será un instrumento útil para la compatibilidad de estudios y la movilidad de los estudiantes en todo el sistema educativo nacional.",,,,,,,,,,,,
Rafael Flores Mendoza,"Con esto, el CONACES da cumplimiento a sus fines y abre una nueva etapa para la transformación del Sistema Nacional de Educación Superior y de las instituciones que lo conforman. Por mi conducto, la Secretaría de Educación Pública, coordinadora del consejo, les envía un amplio reconocimiento por el trabajo realizado en tan corto tiempo y les reitera su disposición para seguir trabajando juntos y lograr la materialización de la transformación educativa que requiere el país para el bienestar de todo México y su población. Muchísimas gracias.",,,,,,,,,,,,
Jaime Valls Esponda,"Si me lo permiten, seguimos con el siguiente punto. Saludo a los integrantes del presídium y a todos los presentes que nos acompañan de forma presencial y a distancia. Es para mí un verdadero honor participar en esta sesión.",,,,,,,,,,,,
Jaime Valls Esponda,"Pasado el 24 de noviembre, recibieron en la carpeta el acta de la instalación y primera sesión de esta instancia colegiada, por lo que se solicita, de forma respetuosa, su anuencia para obviar su lectura y someterla a su consideración para su aprobación. Bien, se aprueba el punto.",,,,,,,,,,,,
Jaime Valls Esponda,"Pasando al siguiente punto, al quinto, el siguiente punto del orden del día es la presentación y, en su caso, aprobación del informe de seguimiento de acuerdos del CONACES.",,,,,,,,,,,,
Jaime Valls Esponda,igualmente se aprueba por unanimidad. Siguiente punto lo llevará el subsecretario.,,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,"A continuación vamos a contar con la intervención de la doctora Elena Álvarez Buylla Roces, directora general del Conacyt eh por favor si es tan amable doctora.",,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,"Entonces vamos revisando técnicamente.
Elena, espero que no te moleste, vamos avanzando para ver si tenemos que reiniciar ahí y poder conectarnos y aclarar este punto.",,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,"Entonces, si eres tan amable Jaime.
Ah, ya lo tenemos Jaime.
Perfecto, ya parece que podemos proceder.
Elena, si eres tan amable.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"Muy buenos días, decía yo, muchas gracias Luciano, a todas y todos ustedes. Para mí es un verdadero gusto acompañarles en esta segunda sesión ordinaria del Consejo Nacional para la Coordinación de la Educación Superior. Saludo con mucho gusto y afecto al doctor Luciano Concheiro Bórquez, subsecretario de Educación Superior, al doctor Arturo Reyes Sandoval, director general del Instituto Politécnico Nacional. a la doctora Rosa María Torres Hernández, rectora de la Universidad Pedagógica Nacional, a la doctora Rosaura Ruiz Gutiérrez, secretaria de Educación Superior, Ciencia y Tecnología de la Ciudad de México,
al maestro Jaime Valls Esponda, secretario general de la ANUIES y también saludo con mucho gusto al maestro Rafael Flores Mendoza, jefe de la oficina de la Secretaría de Educación Pública y a través de él con mucho cariño, con mucho afecto a la secretaría
da un abrazo y a todas y todos los titulares de todas las importantísimas instituciones de educación superior de nuestro país.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"Las actividades de este CONACES están inscritas en la lógica del servicio público impulsada por la cuarta transformación en la que la articulación interinstitucional y las sinergias también multidisciplinarias son necesarias para la resolución de problemas que requieren soluciones complejas y representa bien la etapa que vivimos de profunda transformación y de renacimiento en todos los ámbitos de la vida pública. y qué decir
de la educación superior, pues es pilar del
el futuro de nuestro país.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"En el marco, por lo tanto, de este órgano colegiado de deliberación, consulta y consenso, y también de cambios y de avances concretos, como bien decía el mensaje de la secretaría.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"Permíteme compartir con ustedes algunas de las principales acciones que desde este consejo, el Consejo Nacional de Ciencia y Tecnología, estamos llevando a cabo para contribuir con el fortalecimiento e impulso de la educación superior.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"Sin afán de hacer un recuento de todos los avances de estos tres años, puesto que no es el marco y no había tiempo, sí quiero enmarcar justamente con los lineamientos tan claros que dio el subsecretario Concheiro, algunos de los aspectos claves para la interacción virtuosa entre las instituciones de educación superior y el quehacer científico y tecnológico.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"Unas se deben a lo otro y viceversa. De acuerdo con el programa de trabajo 2021-2022 del Conacyt, al Conacyt le corresponde impulsar una estrategia para el fortalecimiento de la investigación y el desarrollo científico, humanístico, desarrollo tecnológico e innovación. justamente en estas importantísimas instituciones de educación superior de nuestro país.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"En este sentido desde el Conacyt estamos convencidas convencidos de que la educación y la formación profesional de licenciatura y posgrado deben ser concebidas como un derecho y no como un privilegio al alcance de unos cuantos estos este
esta máxima para iniciar siempre en un entorno que garantice plenamente la libertad de cátedra y el respeto a la diversidad educativa e institucional.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,Esta convicción da fuerza al quehacer del Conacyt y motivó por ejemplo la decisión que debía conocer justamente el día de ayer y que constituye un paso decisivo del auténtico impulso democratizador en los 26 centros públicos de investigación que coordina el Conacyt y en donde se lleva a cabo una actividad muy importante no solamente de investigación sino también de desarrollo tecnológico y de formación desde el nivel licenciatura hasta los diferentes niveles de posgrado.,,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,di el anuncio de que a partir del próximo año 2022 se cancelarán todas las licenciaturas o cualquier tipo de cuota para las y los estudiantes de licenciatura y posgrado y todos y cada uno de los estudiantes que estén aceptados en programas de estos centros públicos de investigación tendrán asegurada una beca correspondiente al nivel en el cual se desarrolla.,,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"Se trata de un paso que busca revertir en el ámbito de competencia del Conacyt aquellas inercias y lógicas de mercado que fueron aplicadas durante décadas en el entorno educativo y que dejaron de lado la vocación social, el beneficio público al que está obligado el Estado. Lógicas productivistas que impusieron una visión de negocio en las instituciones educativas y que ponían recursos públicos al servicio de intereses privados y de programas de posgrado que fueron disminuyendo en su calidad y proliferando en cantidad, respondiendo justamente a estas lógicas de mercado y con ello pulverizando también los recursos públicos.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"Con eso solo se favorecieron el recrudecimiento de brechas sociales también, de desigualdad e inequidad en el derecho de acceso a la educación y además en el caso de aquellas instituciones en donde también se desarrolla investigación científica y desarrollo tecnológico, muchas veces se priorizaron temas y líneas de investigación que responden más a intereses corporativos ajenos incluso a nuestro país o a criterios de retorno de capital o de lucro provocando que en el camino se hiciera de lado el entendimiento, la reflexión y la búsqueda genuina de soluciones científicas, tecnológicas y de innovación para atender los grandes desafíos nacionales y el avance mismo desde el conocimiento de la ciencia en México, el avance de la academia en pocas palabras.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"Como muestra de los efectos negativos que tuvo la imposición de esta visión y los llamados instrumentos de política pública y que ilustra además la tendencia privatizadora de la educación pública, de acuerdo con cifras del anuario estadístico de la ANUIES, hoy en México el número de los estudiantes de posgrado en instituciones privadas es casi dos veces mayor que la matrícula correspondiente en instituciones públicas.Esta es una cifra que da
La muestra ineludible de cuáles fueron las prioridades de los exámenes pasados y cuál es el reto que tenemos enfrente.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"Es decir, se fue desmantelando la educación pública, el sistema público de educación, incluyendo las universidades donde solo se permite o se da oportunidad a estudiantes de formación a nivel de posgrado en algunas áreas del conocimiento fundamentales para nuestro país.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"De ahí la importancia del cambio de paradigma planteado por la actual administración del primer gobierno de este nuevo régimen de la cuarta transformación. Ahora estamos convencidas y convencidos de que la educación y el derecho al goce de los beneficios del quehacer científico y tecnológico, como quedó asentado en la Constitución para todas y todos, añadido en la reforma del artículo tercero constitucional, son derechos habilitantes, es decir, que promueven y favorecen el acceso al ejercicio de otros derechos humanos fundamentales.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"Esta nueva visión contempla también que las y los estudiantes de nivel superior
deben gozar, por lo tanto, plenamente del derecho a la educación gratuita y que las y los jóvenes que se están formando en licenciaturas y programas de posgrado encuentren el apoyo público necesario que sean respaldadas y respaldados por el estado por su país para lograrlo.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"Por ello hemos transformado el programa nacional de posgrados de calidad en un sistema nacional de posgrados y estamos modificando los reglamentos para asegurar que podamos revertir este impacto eh pues eh detrimental, no solamente para el acceso a la educación en el nivel eh de licenciatura y de posgrado, sino también para realmente el seguir ahondando en el rigor y la pertinencia de los programas académicos realmente académicos de maestrías y doctorados.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"Y por ello es que a partir del 2022 absolutamente todas y todos los estudiantes inscritos aceptados en instituciones de educación superior públicas en maestrías y doctorados y en
en especialidades en áreas prioritarias como la salud recibirán una beca por parte de Conacyt
y mantendremos conversaciones con las instituciones de educación superior pública
para fomentar en colaboración la asignación de una mayor cantidad de recursos, si es posible, de estas instituciones
para cumplir con este objetivo, no solo en las maestrías y doctorados académicos,
sino en un mayor número de especialidades profesionalizantes, estableciendo prioridades conjuntamente con las instituciones de educación superior.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"También estamos creando, para comenzar, dentro del sistema de centros públicos de investigación, posgrados nacionales
que ofrezcan a las estudiantes y los estudiantes las mejores condiciones para formarse de la mejor manera en las áreas de competencia
para comenzar en los centros públicos de investigación, pero ponemos a disposición de este organismo nuestra colaboración desde Conacyt
para crear un número mayor
bordes nacionales que aseguren la mejor calidad y oferta con profundidad de formación a nivel de posgrado a las y los jóvenes mexicanos.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"En ese camino también buscamos que las y los estudiantes mexicanos que se encuentran estudiando en el extranjero, hoy alrededor de 35,000 de acuerdo con cifras del Instituto de estadística de la UNESCO, encuentren las oportunidades y el espacio académico, científico y o profesional para propiciar su retorno al país y aplicar los conocimientos adquiridos para ponerlos al servicio del bienestar de nuestro pueblo, del pueblo de México.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"En suma, el Conacyt tiene como objetivo fundamental la reivindicación del interés público, el interés general en el sector de las humanidades, las ciencias, las tecnologías y la innovación, para con ello favorecer la recuperación de la rectoría del Estado, cuya vigencia requiere de instituciones académicas renovadas, abiertas y plurales, enriquecidas por el universo de enfoques, por la suma y articulación de capacidades, por el diálogo abierto, por reflexiones honestas, profundas, por debates exhaustivos y también reflexiones en torno a cómo ir recuperando la soberanía científica, el aporte al conocimiento desde nuestras instituciones de educación superior, públicas y privadas y con ello poder estar en posibilidades de aportar a la comprensión profunda y a la solución y prevención de grandes problemas nacionales y también de desarrollos tecnológicos de vanguardia pertinentes para nuestro país.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"También es muy importante, obviamente, generar estos espacios de diálogo para discutir disensos y para buscar sobre todo coincidencias, qué es lo que caracteriza a el ámbito académico y científico. Esta búsqueda de pluralidad y de solución colegiada para poder realmente encontrar las mejores avenidas de análisis.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"Vivimos un momento estelar de nuestra historia en el que el bienestar social
el cuidado ambiental, la preservación de nuestra gran riqueza biocultural y también el fortalecimiento de la educación pública,
vuelven a ser los objetivos que guían el quehacer humanístico, científico y tecnológico desarrollados por rigor epistemológico y por solvencia técnica en beneficio siempre del interés general del pueblo de México.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"El Conacyt refrenda su compromiso con la Secretaría de Educación Pública de hacer aportaciones al programa de trabajo 21-22 y en adelante del Conacyt para contribuir con el desarrollo de la educación superior,para, por ejemplo, apoyar de manera directa programas en favor de mujeres, de grupos desfavorecidos como los indígenas, en fin, de todas aquellas líneas de trabajo que tenga a bien establecer este importantísimo cuerpo colegiado.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"Nuestro país está ávido de graduadas y graduados en todas las áreas del conocimiento cuyo trabajo colaborativo abone a la superación de los grandes retos nacionales que enfrentamos desde perspectivas multidisciplinarias para comprender
de, como decía,
la gran complejidad de los fenómenos
a los que nos enfrentamos
y los retos científicos y tecnológicos
implica superarlos.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"De manera análoga, también necesitamos fortalecer
las sinergias de participación interinstitucionales
para llevar a buen término y dar cumplimiento a los propósitos fundamentales de este primer gobierno de la cuarta transformación
y en adelante.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"me da mucho gusto anunciarles
que ya ha sido refrendado por todas las secretarías
el programa especial de ciencia, tecnología e innovación del Conacyt
y este es un marco que estaré compartiendo con ustedes
que nos da también un empuje muy importante
para esta articulación virtuosa que ustedes y nosotros eh
y todo el sistema de humanidades, ciencias, tecnologías e innovación nos proponemos.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"Estoy convencida de que la voluntad del trabajo colaborativo, comprometido y solidario
del que este órgano ejemplar está desarrollando, aunada
al conocimiento riguroso y a la formulación de propuestas técnicas viables y socialmente pertinentes, como mencionaba en su mensaje la secretaria, da aliento al gran esfuerzo transformador que define la identidad de la actual administración, repito, del primer gobierno de la cuarta transformación.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,Muchas muchas gracias y felicidades por el gran trabajo.,,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,Muchísimas gracias doctora Álvarez Buylla.,,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,"aquí la solicitud por parte de Rosaura Ruiz, ¿sí? al respecto, ¿sí? y entonces para poder hacer algunos comentarios",,,,,,,,,,,,
Rosa María Torres Hernandez,"Buenos días todos y todas.
Pues primero que nada eh agradezco la que se haya tomado en cuenta esta propuesta que estaba discutida desde la ley, lo tenía
lo acordamos ya con todo el grupo que participamos en en la elaboración de de la ley de educación superior, estaba ya y queda y tenía que quedar explícito también ya en la en la aplicación de esa parte de la ley. Y bueno que se tomó en cuenta y por supuesto esta relación entre las universidades y Conacyt, las universidades, los centros de investigación, todos ellos y el Conacyt es una es fundamental porque los recursos más importantes para el desarrollo de la ciencia, la tecnología, las humanidades, la innovación los tiene Conacyt y entonces estos anuncios que hace mi querida compañera
amiga bióloga también de la Facultad de Ciencias Elena Álvarez Buylla, me parece estupendo, es la garantía que está planteando ella de que todo estudiante de posgrado en nuestras instituciones tenga una beca, pues es algo que tenemos que felicitar, que tenemos que apoyar y que evidentemente es una gran noticia.",,,,,,,,,,,,
Rosa María Torres Hernandez,"La idea de que estas esta todos estos recursos se tanto de las becas como del de apoyo al desarrollo científico tecnológico humanístico se ha se ha discutido entre los
integrantes de la subsecretaría de educación superior, eh las universidades, los centros de investigación, todos quienes tenemos una tarea en este sentido, también me parece muy importante y yo quiero insistir en ese tema",,,,,,,,,,,,
Rosa María Torres Hernandez,"porque eh por ejemplo, si vamos a definir prioridades para los programas, lo tenemos que hacer con pleno respeto a la autonomía de las universidades eh del país. Entonces, en este contexto, en esta relación entre la subsecretaría de educación superior,
este órgano que estamos hoy reunido del Consejo Nacional para la coordinación de la educación superior es fundamental este tema. Evidentemente aquí no tengo que convencer a nadie, todos estamos claros que la educación superior y su relación con el desarrollo del conocimiento es fundamental.",,,,,,,,,,,,
Rosa María Torres Hernandez,"No se puede pensar en una educación superior de calidad y que eso se refleje en la en la educación media y en la en la básica es central. De manera que por eso digo es algo que estaba en la ley y que lo vamos a hacer ahora y que esa esa garantía de trabajo
conjunto de las universidades, los centros de investigación de la subsecretaría de educación pública de conacyt
es una gran noticia que lo hagamos así.",,,,,,,,,,,,
Rosa María Torres Hernandez,"Es una gran noticia.
Excelente.",,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,"Entonces quisiéramos agradecerle a la doctora Álvarez Buylla su intervención, ya la estaremos comentando.",,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,"Creo que es muy importante ver cómo avanzamos en esta perspectiva. Lo mismo que en toda la estructura de las cátedras, de las formas en las cuales podemos eh trabajar en conjunto, ya no en términos aleatorios, sino a partir de toda una perspectiva común nos parece fundamental",,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,"¿si quisieras agregar algo, eh Elena?",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"Sí,pero simplemente reiterarles nuestra plena disposición y además entusiasmo en los términos que justamente resumió Rosaura Ruiz, a quien le mando un abrazo cariñoso, respetuoso y en estricto cumplimiento de las autonomías, respeto estricto de los criterios académicos que establecen las universidades, que son quienes tienen ese conocimiento, esa atribución en sus órganos colegiados, y a la vez esta disposición de articular capacidades en beneficio de la formación a nivel superior y de posgrado; y como dice la doctora Rosaura, asegurar que la investigación científica no esté desarticulada de la formación de los estudiantes, pues no puede haber una buena formación a nivel de posgrado si no están involucrados en los proyectos de investigación.",,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,y toda esta articulación a través de los programas nacionales estratégicos de los proyectos de ciencia de frontera que se ha rescatado con respecto a lo que pasaba en 2017-2018 con una parte de aporte de recursos ya transferido de hecho para dos y tres años a las universidades con mucho gusto quizás para cerrar me gustaría pasarle si me lo permite eh al subsecretario doctor Luciano Concheiro una síntesis de cuáles son eh los aportes los proyectos de sinergia de grupos de programas nacionales estratégicos que están operando en las diferentes universidades,,,,,,,,,,,,
Maria Elena Álvarez Buylla Roces,"Nada, pues nada más quería yo decir que voy a aportarles esta información para que justo en los términos que decía el doctor Concheiro, sirva de insumo para este trabajo articulador.
Quedo en plena disposición, les agradezco muchísimo este espacio y eh pues a trabajar en conjunto con todo el empeño.",,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,"seguimos adelante si no te parece mal y distribuimos el el vídeo, si te parece, ¿sí? Elena.
Perfecto. Perfecto.",,,,,,,,,,,,
Jaime Valls Esponda,"Muchas gracias. Sí, continuamos con el siguiente punto que es el séptimo: propuestas de procedimiento y criterios para la integración al Conaces de las personas a que se refieren las fracciones novena y décima del artículo 52 de la Ley General de Educación Superior.",,,,,,,,,,,,
Jaime Valls Esponda,Este es un tema que deriva del mandato de la propia ley y de los acuerdos de la sesión anterior de Conaces. En aquella ocasión se instruyó al secretariado técnico conjunto a elaborar y emitir la convocatoria para la recepción de candidatos a integrarse a este Consejo Nacional por parte de los académicos y los estudiantes tal como establece la ley.,,,,,,,,,,,,
Jaime Valls Esponda,"Asimismo, el acuerdo señala que la convocatoria tendrá que obedecer a los criterios que apruebe este consejo. Para dar cumplimiento a lo anterior, se incluyó en la carpeta de esta sesión tanto el contenido de la convocatoria donde se describen fechas y procedimiento, así como los criterios que de aprobarse en este en esta sesión del consejo serán aplicados por los integrantes de los consejos regionales de apoyo a la coordinación de la educación superior para seleccionar las propuestas.",,,,,,,,,,,,
