"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Procedo, en este punto y debido a compromisos de agenda previamente contraídos de nuestra titular, la maestra Leticia Ramírez Amaya, no le ha sido posible acompañarnos. Sin embargo, me pidió trasmitirles un afectuoso saludo y decirles que está segura de que los trabajos que aquí se llevarán a cabo serán muy provechosos para todas y para todos. Ahora bien, en nombre de la maestra, permítanme darles un breve mensaje introductorio como decía y como pudieron darse cuenta ustedes en la convocatoria de esta sesión se trata de una orden del día muy vasta en la cual se dará seguimiento a diversos temas que constituyen mandatos de la propia Ley General de Educación Superior y que abordarán asuntos en los cuales este Consejo Nacional ha venido trabajando intensamente, por lo cual trataremos de apegarlos lo más que se pueda a los tiempos para desahogarla conforme a lo programado."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Máxime que al finalizar algunos de los que nos encontramos aquí nos vamos a quedar a otro importante foro de reflexión sobre la prospectiva de la demanda de servicios educativos y la actualización curricular para potenciar el talento mexicano. Hemos venido ya teniendo dos reuniones regionales, una en Querétaro, la otra en Tampico, Tamaulipas, que nos han permitido no solamente hacer un ejercicio a nivel hasta municipal de cómo va a ser el desarrollo de la población en nuestro país, lo que nos lleva a ver cómo no solamente perdimos ya el bono demográfico, sino nos encontramos en una condición donde hay un cambio cualitativo tanto para media superior como para educación superior en nuestro país.  "
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Por tanto, debemos tener una respuesta para los próximos años subrayando la política de Estado, que representa precisamente la educación en general, y con ello darles una perspectiva que junto con la transformación económica que es igual de cambio cualitativo en todo nuestro país. O sea, lo que estamos diciendo es que el cambio que viene no es una proyección de lo que somos hasta ahora, sino que el cambio en términos económicos sobre todo en términos de la industria, los servicios y el comercio está transformándose en términos muy profundos. Los próximos años serán de crecimiento y esperemos que sean de desarrollo con bienestar, sí, porque de crecimiento van a ser, sí, pero de un crecimiento hacia dónde, con qué sentido le damos, es importante."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Como primer punto sustantivo en el orden del día, la propuesta de modificar los lineamientos de este consejo. Este es un asunto casi de forma, pero cualquier cambio debe pasar por el pleno para poder instrumentarlo. Ya lo vieron en las carpetas y lo retomaremos puntualmente en su momento."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","El segundo punto, que también forma parte del orden que generalmente seguimos en este consejo, sería el avance del programa de trabajo de esta instancia colegiada. Hemos elegido, digamos, en paralelo a muchos de nuestros consejos, poder revisar las tareas porque este es un órgano para el hacer, también para discutir, tener una idea general de la educación, pero para dar seguimiento a una tarea colectiva fundamental y, por tanto, darle vida a este consejo, no solamente como uno que asimila las cosas, sino que las revisándolas, participando en ellas y, por tanto, cambia el sentido que en general pueden tener algunas instancias colectivas que se van desgastando, como es natural, y entonces empiezan a actuar en términos automáticos."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Por eso la insistencia en revisar particularmente tres temas: el avance que hemos tenido en el SEAES, es decir, en el sistema de evaluación y acreditación; el programa de ampliación de la oferta de la educación superior, que acaba siendo fundamental y va a ser uno de los puntos centrales del cierre de esta administración; y finalmente, los avances de la comisión para el impulso de la investigación científica, humanística, del desarrollo tecnológico y de la innovación en las instituciones de educación superior."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Cabe decir que los cambios no solo han tenido que ver con quién administra los posgrados para determinar si son de calidad y, por tanto, poder solicitar las becas al CONAHCYT, sino se ha convertido verdaderamente en un punto nodal en lograr que la investigación científica que es arriba, en términos presupuestales del 46% del presupuesto pasa por nuestras instituciones, frente al 54% restante de CONAHCYT que empiece a entrar en una sintonía general esta cuestión."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Por lo que se hace al primer tema la directora del SEAES es María José Rhi Sausi, expondrá de manera puntual los elementos que se han ido avanzando y sobre todo los resultados que tenemos ya en nuestra segunda convocatoria a la inserción en esta coronación del sistema de educación superior para construir precisamente un sistema que respete la diversidad y que vaya al ritmo de cada una de nuestras instituciones y las vaya proyectando en el conjunto tanto en términos territoriales como en una perspectiva podemos decirle así también de los subsistemas, y por tanto en la construcción de una visión de conjunto."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Para esta sesión corresponde conocer los resultados de la pasada convocatoria de autoevaluación institucional 2023 y otros aspectos que prefirieron no abundar tanto en ellos, pero tenemos ya 29 de las 32 entidades federativas del país integradas en este sistema."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Agradecemos por supuesto a las autoridades educativas de cada una de las instancias, la revalorización y el digamos fortalecimiento de los COEPES o las instancias equivalentes para sumar los esfuerzos y subrayamos para pensar en otra planificación posible, la que viene no solamente dictada en términos generales por esta instancia, sino la que abreve de las especificidades, matices y diferencias que pueden haber, porque es una política de estado, pero tiene también que recoger el matiz, porque en el matiz está la política. "
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Lo otro suena bien y podemos decir que estamos de acuerdo en las líneas más generales, troncales, pero estará en el matiz y la discusión de los matices, la posibilidad de construir una política de conjunto en relación con el PAOES, en atención al acuerdo del CONACES 10A5, se recibieron las observaciones a este programa de actualización de las cifras, indicadores y metas, con base en los resultados de la estadística del ciclo escolar 23-24 y la actualización de las proyecciones de la población que nos hizo CONAPO. Entonces ahí hacer un ejercicio general. "
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Y finalmente la comisión para el impulso de la investigación científica, humanística, el desarrollo tecnológico y la innovación de las instituciones de educación superior creada también por este consejo en su cuarta sesión ordinaria con el objetivo de revisar y desarrollar líneas de acción que contribuyan e impulsen a las humanidades, las ciencias, el desarrollo tecnológico y la innovación en nuestras instituciones. "
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Se promovió la realización de un primer foro aquí mismo, en esta sala, si mal no recuerdo, de la materia. Este primer foro tuvo como propósito continuar propiciando el trabajo colaborativo en el marco de dicha comisión, así como dar seguimiento a las acciones y propuestas impulsadas y que queremos dar cuenta aquí para poderlas socializar, pero fue un ejercicio también muy interesante desde un ángulo que hay que decirlo, Rosaura Ruiz fue quien lo propuso, no venía en nuestra dinámica general y en el planteamiento aquello de respetar las líneas, ya saben, los límites, las fronteras de unas áreas con otras y evidentemente lo acordamos, lo recuperamos y hoy día esperemos proyectar precisamente, como ya mencionaba, una relación virtuosa entre la producción científica de las ciencias, las tecnologías y la innovación, en ambas direcciones, y creemos que esto es muy importante. "
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","En primer lugar, también se hablará sobre la firma del convenio de colaboración para impulsar el desarrollo de la industria de semiconductores y vamos a señalar las importantes estrategias en las que las instituciones de educación superior, algunas en particular con mucha fuerza como el TKNM, han participado en el campo de los semiconductores. Representa, y no habrá tiempo para explicarlo a fondo, pero es el área de inserción quizá más importante para la relocalización, o el nearshoring, como queramos retratarlo, porque es muy singular."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Una cosa es relocalizar y otra es el acercamiento específico de las cadenas, entonces están representando, las hacemos sinónimo y resulta que nos están expresando dos conceptos centrales, de cómo nos encadenamos, cómo nos relacionamos en términos de la industria. "
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Es lo que hemos venido diciendo de cómo pasar de la manufactura, a la mentefactura en esta perspectiva de apropiarnos del proceso actual de transformación, pero ya vuelto un convenio intersecretarial, cuestión que es fundamental, pero también marcado por muchos COEPES que han empezado a ver cuál es la vocación específica dentro de los semiconductores para insertarse en esta dinamia general. "
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Ahí tenemos una sacudida a nivel nacional. Algunos la han tomado como verdadera ofensiva y de trabajo para cerrar en el caso del TKNM, aprovechando también para una reconversión interna, también muy interesante, en este caso, la institución más grande que tenemos en el sistema de educación superior y cómo han ido colocando posgrados, esto y lo otro, pero también cómo el Cinvestav particularmente, nos ha ayudado a la actualización de profesionistas ya formados, ya en acción, pero hacia los semiconductores y con la posibilidad de abrir hasta alguno que otro campus nuevo del Cinvestav en nuestro país y lograr una presencia aún mayor de esta gran institución de investigación y formación de posgrado. "
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Entonces, por ahí hay una serie de cambios y de sacudidas que hay que tomarlas en su conjunto para poder proyectar la gran transformación en el plano de la economía real y quiero subrayar eso, pocos los hemos enredado en la otra perspectiva, pero ya algunos habrán visto cómo puedes ganar elecciones y empezar a tener ruido en una instancia que se maneja volátil y sola y a su manera y en su lógica que es la financiarización de la economía y esta financiarización, al ir ya en oposición abierta a la economía real, nos distorsiona."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","No es solo ahí, hay otras mucho más profundas, como es que seguimos, pasamos a la quinta posición de inversión mundial en la minería, somos el quinto país de inversión mundial en minería y pues si eso fuera así, este país sería un gruller por completo, ese crecimiento está en la bolsa de Toronto, y en realidad es un proceso especulativo alrededor de lo que las reservas probadas de nuestro país de los distintos materiales, elementos, etcétera, nos está proyectando, particularmente nuestras tierras raras, que es son los superconductores, ojo, no semiconductores, sino los superconductores del futuro. "
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Y entonces, en ese sentido, somos dos países en el mundo que tenemos, uno con una distancia de más del 90% que es China, y el restante más importante está en este país. Entonces ya se imaginarán ustedes lo que representa, perdón, voy a usar un término ahí un poco extraño, de renta diferencial para un país ser el segundo país en el mundo en el manejo de los materiales para los superconductores del futuro. Entonces la mayor velocidad en conducción."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Entonces imagínense lo que esto empieza a representar, no solamente es litio, sino es esta otra área que acaba siendo fundamental en nuestra eh economía. "
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","También les vamos a presentar y es fundamental, está cuajando en estos días, nada menos que y anclado en la Ley General de Educación también y en la Ley General de Educación Superior, pero particularmente en la Ley General de Educación, lo que serían las escuelas saludables. Entonces queremos dar desde la educación un giro ante el gigantesco problema de salud que vive en nuestro país, de tener el triste primer lugar de obesidad infantil y el triste también segundo lugar en obesidad en términos de los adultos. "
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Y entonces en esa perspectiva solo debajo de Estados Unidos, y en esa perspectiva en términos de salud y de proyección de la salud, no podemos seguir jugando con el bueno, algún día entrará, entraremos en conciencia de lo que significa comer comida basura, refrescos, eh, comida procesada y con eh, veinte porquerías incluidas, hacia su interior, sino lo que tenemos que hacer es efectivamente eh, poner por delante el interés superior de nuestros estudiantes y también de todos los trabajadores para ello."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Entonces ahí vamos a explicar en qué línea va el todo el tema de la escuela saludable, ya está fincada también en el cambio a la ley en salud, cosa que nos beneficia y vamos a proyectar."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","En este sentido vamos a contar con distintos elementos, entonces para la planeación de nuestro desarrollo en cada una de las entidades federativas, iremos diciéndole cómo estamos conduciéndonos con foros generales, con toda una difusión y cerrando con mucha fuerza y alegría."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Quizá a las 11 de la mañana y me adelanto si es tan puntual la cosa, pues comentaremos aquí también el chisme, podemos hacer un paréntesis, de cómo va a estar esta esta jugada de los tres y tres primeros, integrantes del del gabinete y todo eso."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Si ustedes no tienen inconveniente le paso la voz al secretario general de la ANUIES a Luis Armando González Placencia como parte de este secretariado técnico conjunto para continuar con el desahogo de la sesión. Luis Armando, si eres tan amable."
"Dr. Luis Armando González Placencia, secretario general ejecutivo de la ANUIES","Gracias Luciano. Buenos días nuevamente a todas y todos, bienvenidas y bienvenidos a la ANUIES. "
"Dr. Luis Armando González Placencia, secretario general ejecutivo de la ANUIES","Bueno vamos al punto cuatro que se refiere a la aprobación del acta de la sesión anterior como ha sido costumbre en este consejo eh ya fue enviada el acta para que ustedes pudieran leerla de antemano, así que bueno les proponemos obviar la lectura aquí y más bien les consulto si eh consideran que debemos aprobarla. Para ello entonces les propongo el siguiente acuerdo que estará proyectándose en la pantalla ahora. Mientras les dedico una sonrisa. "
"Dr. Luis Armando González Placencia, secretario general ejecutivo de la ANUIES",Acuerdo S.O.CONACES.12ª.3 el CONACES aprueba el acta de su décima primera sesión ordinaria.
"Dr. Luis Armando González Placencia, secretario general ejecutivo de la ANUIES",Quienes estén por la negativa por favor manifiéstenlo. 
"Dr. Luis Armando González Placencia, secretario general ejecutivo de la ANUIES",Abstenciones. 
"Dr. Luis Armando González Placencia, secretario general ejecutivo de la ANUIES",Queda aprobado por unanimidad.
"Dr. Luis Armando González Placencia, secretario general ejecutivo de la ANUIES","Solicitamos entonces por favor que se registre el acuerdo y continuamos con el punto número cinco, presentación y en su caso aprobación del informe de seguimiento de acuerdos del CONACES. Igualmente, como ya comentaba Luciano, este ha sido un punto recurrente en nuestras sesiones. El informe fue integrado, también les fue enviado con anterioridad. Así que bueno, suponemos que tuvieron oportunidad de leerlo y por eso igualmente les pregunto si estamos en condiciones de aprobarlo."
"Dr. Luis Armando González Placencia, secretario general ejecutivo de la ANUIES","De acuerdo con el texto siguiente. Si me ponen el acuerdo nuevamente en pantalla, por favor."
"Dr. Luis Armando González Placencia, secretario general ejecutivo de la ANUIES",ACUERDO S.O.CONACES.12ª.4 El CONACES aprueba el informe del seguimiento de acuerdos rendido por el Secretariado Técnico Conjunto. 
"Dr. Luis Armando González Placencia, secretario general ejecutivo de la ANUIES","Si alguien está por la negativa, por favor manifiéstenlo ahora."
"Dr. Luis Armando González Placencia, secretario general ejecutivo de la ANUIES",¿Abstenciones? 
"Dr. Luis Armando González Placencia, secretario general ejecutivo de la ANUIES","Si no las hay, entonces queda igualmente aprobado por unanimidad."
"Dr. Luis Armando González Placencia, secretario general ejecutivo de la ANUIES","Y pedimos que se registre el acuerdo y continuamos con el punto número seis, que se refiere a la propuesta de modificación a los lineamientos para la operación y funcionamiento del CONACES."
"Dr. Luis Armando González Placencia, secretario general ejecutivo de la ANUIES","Sobre este punto y como ya pudieron leerlo en sus carpetas, atendiendo al calendario de sesiones aprobado por esta instancia colegiada y a fin de empatar con la fecha del término de la administración, se propone hacer una modificación en los lineamientos del CONACES en lo relativo al procedimiento para la renovación de integrantes previstos en las fracciones sexta, séptima, novena y décima del artículo 52 de la Ley General de Educación Superior."
"Dr. Luis Armando González Placencia, secretario general ejecutivo de la ANUIES","Esto es, las IES públicas y privadas que integran el CONACES, así como las personas representantes del personal académico y estudiantes de cada subsistema de educación superior. Lo anterior con la finalidad de que las fechas permitan realizar las gestiones necesarias, que como ustedes ya saben, en un caso requiere la sesión de los Consejos Regionales del CONACES y en el segundo lanzar una convocatoria, lo cual implica un proceso muy largo que tiene que dar inicio un poco antes de lo previsto en el texto actual. Esto entonces con la finalidad de que quienes resulten electas se puedan integrar al CONACES en la primera sesión ordinaria de 2025."
"Dr. Luis Armando González Placencia, secretario general ejecutivo de la ANUIES","En este marco les consulto entonces si es de aprobarse la modificación que se propone a los lineamientos conforme el texto que obra en sus carpetas y que también se estará proyectando enseguida en las pantallas. ¿Me pueden poner el acuerdo, por favor?"
"Dr. Luis Armando González Placencia, secretario general ejecutivo de la ANUIES","El acuerdo dice lo siguiente, es el S.O.CONACES.12ª.5, el CONACES aprueba la modificación de los lineamientos para la operación y funcionamiento del CONACES, en los términos propuestos por el Secretariado Técnico Conjunto."
"Dr. Luis Armando González Placencia, secretario general ejecutivo de la ANUIES",¿Hay votos en contra? pregunto.
"Dr. Luis Armando González Placencia, secretario general ejecutivo de la ANUIES",Abstenciones.
"Dr. Luis Armando González Placencia, secretario general ejecutivo de la ANUIES",Entonces aprobamos igualmente por unanimidad este acuerdo.
"Dr. Luis Armando González Placencia, secretario general ejecutivo de la ANUIES","Pedimos que se registre y continuamos con el punto número siete, ahora le devuelvo la palabra al subsecretario de Educación Superior, querido Luciano."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Gracias, Luis. Vamos a empezar como primer tema abordando lo correspondiente a la presentación de avances del SEAES, del sistema de evaluación y acreditación, para lo cual cedo el uso de la palabra a la directora María José Rhi Sausi. Adelante María José."
"Dra. María José Rhi Sausi Garavito, directora del Sistema de Acreditación y Evaluación de la Educación Superior",Muchas gracias señor subsecretario. Ahí me escuchan?
"Dra. María José Rhi Sausi Garavito, directora del Sistema de Acreditación y Evaluación de la Educación Superior","Muy buenos días a todas y a todos, si me pudieran apoyar con la presentación, por favor."
"Dra. María José Rhi Sausi Garavito, directora del Sistema de Acreditación y Evaluación de la Educación Superior","El recuento que quisiera presentarles es justamente el cierre de la convocatoria 2023, la evolución que todavía está en marcha, el desarrollo de la convocatoria de sistemas estatales y el arranque el 31 de mayo de la convocatoria de autoevaluación 2024. No sé si tengan la presentación. Muchas gracias, bien."
"Dra. María José Rhi Sausi Garavito, directora del Sistema de Acreditación y Evaluación de la Educación Superior","No me voy a detener en detalles, ustedes tienen la presentación en sus carpetas, solo se actualizaron unos números con eh respecto a al reporte justamente cuantitativo de la convocatoria 2023. Entonces bueno, si se fijan pues vamos en tiempo y forma en el programa de trabajo que fue aprobado por este órgano colegiado en su debida oportunidad. La siguiente, por favor."
"Dra. María José Rhi Sausi Garavito, directora del Sistema de Acreditación y Evaluación de la Educación Superior","Sobre la convocatoria de autoevaluación institucional, los números de cierre, la siguiente, por favor. Ya cumplimos con el envío de todas las retroalimentaciones de los pares hacia los reportes de autoevaluación institucional de las 474 instituciones de educación superior participantes, con la composición final que pueden ustedes ver ahí en pantalla, de nueva cuenta nuestro reconocimiento al apoyo, por supuesto, y a la participación muy entusiasta del Tecnológico Nacional de México que genera lo que están viendo ustedes ahora en pantalla, pues digamos una prevalencia, de el subsistema tecnológico en esta participación de la primera convocatoria."
"Dra. María José Rhi Sausi Garavito, directora del Sistema de Acreditación y Evaluación de la Educación Superior","El registro de pares para la evaluación diagnóstica y formativa se inició con la invitación en enero, es un proceso vivo que no va a cerrar pues en ningún momento, y está hasta ahora conformado por 949 pares que tienen un comportamiento distinto en términos de presentación por subsistemas, si se fijan el subsistema universitario y también agradecemos muchísimo a las instituciones de educación superior de este subsistema que nos han enviado una cantidad muy importante de perfiles idóneos para el REPEV, han sido postulaciones y además ha sido posible su integración a los procesos distintos del SEAES. La siguiente, por favor. "
"Dra. María José Rhi Sausi Garavito, directora del Sistema de Acreditación y Evaluación de la Educación Superior","Bien, lo que consideramos aprendizajes preliminares de esta autoevaluación institucional, el primer proceso que arrancó como despliegue del SEAES, es que en la mayoría de los casos y a pesar de ser una iniciativa realmente muy nueva, las instituciones demostraron tener confianza en este despliegue una vez que conocieron la política nacional de evaluación y acreditación y el marco general, es decir, se logró con las jornadas y los talleres de sensibilización y con todo el apoyo que tuvimos de las COEPES, de CONACES, de ANUIES, por supuesto, de las direcciones generales y otras áreas de la subsecretaría de Educación Superior con el liderazgo del señor subsecretario, pues realmente una estrategia efectiva de generación de confianza pública, de un diálogo pues muy importante que eh pues hizo finalmente que esta convocatoria tuviera lugar, tuviera la recepción adecuada."
"Dra. María José Rhi Sausi Garavito, directora del Sistema de Acreditación y Evaluación de la Educación Superior","Reconocemos también los esfuerzos extraordinarios que se requirieron dentro de las IES para la integración de estos equipos especiales de trabajo, para la organización de para que los actores y sujetos, como bien corrige el señor subsecretario de estos procesos, participaran activamente en función de las estructuras institucionales, la generación e integración de nueva información a preguntas distintas, se necesitó también información distinta. "
"Dra. María José Rhi Sausi Garavito, directora del Sistema de Acreditación y Evaluación de la Educación Superior","Y bueno, también todo nuestro reconocimiento a este esfuerzo monumental, la recuperación de prácticas y experiencias que no habían sido sistematizadas, siempre decíamos a las IES todo lo que eh está entre comillas pidiendo el CAES o mucho de ello ya lo tienen avanzado, pero no lo habían sistematizado porque enfoques provenientes de organismos acreditadores no posibilitaban su visibilización y ha sido muy muy enriquecedor recibir la opinión de las IES en ese sentido."
"Dra. María José Rhi Sausi Garavito, directora del Sistema de Acreditación y Evaluación de la Educación Superior","Si es cierto, lo teníamos hecho, nunca lo habíamos ordenado, pensábamos que no importaba, entonces bueno, pues también eso ha sido un aprendizaje muy importante y también nuestro reconocimiento porque sabemos que fue una convocatoria muy muy apretada por razones distintas. "
"Dra. María José Rhi Sausi Garavito, directora del Sistema de Acreditación y Evaluación de la Educación Superior","Bromeaba yo en el Consejo Regional Sureste del lunes pasado que todas las IES pioneras de esta primera convocatoria, las que les estaremos eternamente agradecidos y reconocidos este pues nos deben estar alucinando porque los tiempos se duplicaron, se hicieron realmente mucho más extensos y cómodos para la convocatoria 2024 y deben estar pensando, me hubiera esperado un año, su participación en el primer año con ese nivel de prisa, realmente como de un laboratorio permanente, hizo posible que lleguemos a este punto de primera consolidación, vamos a decir de este despliegue. La siguiente, por favor. "
"Dra. María José Rhi Sausi Garavito, directora del Sistema de Acreditación y Evaluación de la Educación Superior","También creemos, tal vez somos, iba a decir somos muy optimistas, no, realmente estamos convencidos en la coordinación ejecutiva en la dirección del SEAES, que vamos caminando hacia una construcción de saberes y sobre todo a la creación de nuevos sentidos de la evaluación."
"Dra. María José Rhi Sausi Garavito, directora del Sistema de Acreditación y Evaluación de la Educación Superior","Hemos trabajado con esta idea de resignificar la evaluación para la mejora continua, reapropiarnos de estos procesos y no verlos como dependientes de una mirada externa, sino como procesos ordinarios dentro de las funciones sustantivas de una institución de educación superior y bueno, pues hemos avanzado en estos sentidos. "
"Dra. María José Rhi Sausi Garavito, directora del Sistema de Acreditación y Evaluación de la Educación Superior","La práctica reflexiva y crítica sobre los referentes, sobre los procesos de cambio y mejora, sobre los métodos y las técnicas y siempre partiendo de los tres puntos que pues se anuncian fácil y caben en cualquier espacio, pero hacernos cargo de ellos a cabalidad realmente pues ha sido un esfuerzo muy importante de todas y todos y de nuevo nuestro reconocimiento. La siguiente, por favor."
"Dra. María José Rhi Sausi Garavito, directora del Sistema de Acreditación y Evaluación de la Educación Superior","Esta tabla la hemos venido usando los últimos dos meses, inicio como una tabla de apoyo para nuestros diálogos con las instancias de evaluación externa y acreditación, y se ha convertido en una pues en un mensaje muy claro de que entendemos por esta resignificación, este tránsito de un paradigma centrado fundamentalmente en un enfoque de rendición de cuentas, hacia uno que apunta de manera pues efectiva, de manera puntual hacia el mejoramiento."
"Dra. María José Rhi Sausi Garavito, directora del Sistema de Acreditación y Evaluación de la Educación Superior","Y en ese sentido pues organizamos estos cambios de paradigma de acuerdo con cuatro puntos fundamentales, el propósito mismo de la evaluación, preguntarnos por qué y para qué, los enfoques que ahora se proponen desde la Subsecretaría de Educación Superior que sean los que prevalezcan, valoremos en este proceso reflexivo al interior de las instituciones, entidades federativas y subsistemas, los referentes y usos de los mismos y también un cambio en la visión, incluso epistémica, por supuesto metodológica, pero sí poniendo en el centro el humanismo, una tradición sociocrítica que nos haga vernos en términos dialógicos, argumentativos, participativos, etcétera. La siguiente, por favor."
"Dra. María José Rhi Sausi Garavito, directora del Sistema de Acreditación y Evaluación de la Educación Superior","Esta es la convocatoria con la que las instituciones pioneras pues no les caeremos muy bien porque ven que arranca el viernes 31 de mayo pasado, y cerrará ya con la difusión de resultados en junio del año que entra, aunque ya todo el proceso formal cerrará en marzo, no es propiamente que se haya extendido a un año, pero bueno, es evidente que los plazos son mucho más cómodos que en la primera. La siguiente, por favor."
