Participantes,Dialogo
 Luis Armando González,"De modo que el gobierno del estado propuso a otra institución de formación docente. Se trata del Centro Regional de Formación Profesional Docente de Sonora, CRESON. Y bueno, con este antecedente y con fundamento en lo previsto en la Ley General de Educación Superior y en los lineamientos que rigen el nuestro consejo sometemos a la aprobación del pleno esta sustitución."
 Luis Armando González,si no tienen inconveniente en este punto les proponemos el siguiente acuerdo. Acuerdo S.O. CONACES.8°.5.
 Luis Armando González,"El CONACES aprueba que el Centro Regional de Formación Profesional Docente de Sonora, CRESON, se suma a las instituciones de educación superior que conforman el Consejo, en sustitución de la Universidad Pedagógica de Nogales."
 Luis Armando González,Pues igualmente aprobamos por unanimidad este acuerdo y solicitamos su eh registro.
 Luis Armando González,"Vamos ahora al punto número siete, que se refiere al informe de avances en el cumplimiento de las acciones previstas en el programa anual de trabajo veinti- eh 2023-2024 del CONACES"
 Luis Armando González,"Aquí vamos a tener tres intervenciones para desarrollar los temas contenidos en el programa de trabajo de esta instancia colegiada. Para dar inicio cedo la palabra a la maestra María José Risaussi que nos acompaña en la sala para abordar el tema identificado como 7.1 sobre el sistema de evaluación y acreditación de la educación superior. Adelante María José, tienes la palabra."
María José Risaussi,Muy buenos días a todas y a todos. Un gusto estar nuevamente aquí con ustedes.
María José Risaussi,"El contenido de esta presentación que intentará ser lo más sintética posible es presentarles los avances en el programa de trabajo del SEAES, así como una propuesta de actualización del mismo, del programa de trabajo para 2023 y también empezar a bosquejar una propuesta de lineamientos para la integración y funcionamiento del Comité Técnico del SEAES, como ya lo mencionó el señor subsecretario."
María José Risaussi,"Los avances hasta mayo pueden eh sintetizarse o resumirse en lo que pueden leer en esa diapositiva. El acuerdo nacional sobre el que me referiré con más detalle en la próxima lámina, el cierre ya el 31 de mayo de las jornadas de sensibilización y de algunos de los talleres, los talleres en realidad pues va a ser una suerte de campaña permanente porque claro que no hemos terminado eh con todas las la cobertura, digamos de todas las entidades federativas. Eh reportarles también en este órgano colegiado todos los diálogos y acercamientos que hemos tenido con instituciones de educación superior y entidades de evaluación externa."
María José Risaussi,"los grupos de trabajo que hemos organizado para trabajar en cada uno de los criterios, los siete criterios transversales del SEAES, así como eh en los indicadores que darán cuerpo para su documentación, la propuesta de los lineamientos del comité técnico y una breve presentación de la actualización que proponemos del programa de trabajo."
María José Risaussi,"como recordarán en nuestra sesión pasada en febrero eh se acordó, se tomaron estos dos sentidos sobre la suscripción, cartas de adhesión, etcétera, para el acuerdo nacional para impulsar la mejora continua integral de la educación superior. Queremos agradecer muchísimo a todas las instituciones de educación superior que sin esperar un formato preestablecido eh ni nada por el estilo fueron eh de motu propio y en un en un carácter pues espontáneo y de genuino compromiso."
María José Risaussi,"Nos hicieron llegar por diversos eh medios y todavía están llegando, este es un corte al 12 de mayo, pero pues sigue creciendo el número por fortuna. Contamos con 223 cartas de adhesión de 28 entidades federativas con la composición que pueden ver ahí en en pantalla por tipo de institución de educación superior y también la composición por eh subsistema."
María José Risaussi,"Agradecemos también muy especialmente a ANUIES, a la Secretaría General Ejecutiva por su apoyo sumamente decidido, constante, etcétera, porque en cada en cada espacio de de los consejos regionales de ANUIES han sido realmente un apoyo fundamental para el avance de este tema específico y de todos en realidad del SEAES."
María José Risaussi,"Bien, este es el mapa ya completo eh pues no no nos gusta dejar a Querétaro en blanco, pero como todavía no se ha llevado efecto la jornada, insisto, ya tenemos la fecha y estaremos ahí el próximo miércoles. Eh entonces bueno, pues ya ya hemos completado la República, ha sido un trabajo fantástico, fructífero, enriquecedor, estamos profundamente agradecidos por las con las comunidades académicas con los equipos de las secretarías de educación de las entidades, los equipos de las subsecretarías de educación media y superior, porque además de eh aprender muchísimo de ellos también recibimos un trato cálido, dispuesto, abierto. De verdad gracias de todo corazón."
María José Risaussi,y bueno ahí pueden ver también que eh nuestra participación y por ende el apoyo de los consejos regionales de ANUIES ha sido realmente fundamental. Reiteramos nuestro agradecimiento.
María José Risaussi,"Bien, eh además de o sea no digamos que no son reuniones repetidas a la de las jornadas, pero las jornadas han dado paso a solicitudes de reuniones específicas con algunas instituciones eh educativas. Eh son las que las veinte que ven ahí han sido reuniones que a veces tienen temas eh de agenda específica como hablar por ejemplo de los posgrados, que es un tema que preocupa, como también ya lo mencionó el señor subsecretario y a veces es eh pues digamos abundar en algunos aspectos que tal vez tanto en jornadas y talleres deben necesariamente tratarse con una cierta prisa y entonces pues con toda calma tenemos estos diálogos."
María José Risaussi,"Quiero eh pues todas han sido fundamentales, pero quiero recalcar eh el apoyo también muy decidido de la Universidad Autónoma de San Luis Potosí con quienes además hemos tenido reuniones de trabajo eh largas sobre su propio modelo de autoevaluación y bueno eso es un ejercicio que quisiéramos replicar pues donde sea posible. Entonces realmente muchísimas gracias a todas las autoridades institucionales, pero sobre todo a las comunidades por su disposición y su trabajo constante"
María José Risaussi,"También por supuesto hemos tenido un diálogo permanente con diversas organizaciones tanto nacionales como internacionales donde también hemos hemos avanzado, eso ya se reportó en la sesión eh de febrero, ambién valoramos muchísimo el trabajo constante porque no han sido solo reuniones, sino realmente eh pues verdaderas rutas de agenda de trabajo muy muy sólida con las entidades evaluadoras que pueden ver ahí. Nuestro agradecimiento para CENEVAL, para los IES, para FIMPES y por supuesto también eh para ALPES que se han tomado muy en serio eh el trabajo de armonización de los siete criterios con sus modelos de evaluación, como ya lo dijo el señor subsecretario."
María José Risaussi,"No se trata de anular ninguna iniciativa sobre evaluación, ninguna trayectoria que por supuesto eh ya contamos y ha sido muy muy benéfico para la educación superior, pero bueno en lo que eh eh vamos evaluando en conjunto que son modelos que que ya no responden a las necesidades de la ciudadanía y a lo que las propias instituciones de educación superior quieren visibilizar como sus logros. Pues estamos trabajando en estos replanteamiento y eh bueno del lado izquierdo otros otros ejemplos de de estos diálogos que insisto realmente son trabajos eh sustantivos"
María José Risaussi,"También nuestro agradecimiento y reconocimiento al maestro Alejandro Miranda en COPAES quien ha eh facilitado el diálogo con organismos acreditadores de COPAES que están ahí porque cada uno merece una mención específica, entonces pues en vez de decir todos los que están en COPAES eh decidimos pues también darle visibilidad a cada uno de ellos. Tenemos distintos grados de avance, no no vamos a a mentir que vamos parejo con todos, pero sí que que ha sido un diálogo también de respeto y bueno pues de enfrentar los desafíos de la mejor forma posible"
María José Risaussi,"Les decía también de los grupos de trabajo, estos han sido coordinados por la coordinación ejecutiva del SEAES, pero con un apoyo sumamente decidido del comité asesor"
María José Risaussi,"Nos acompañan algunos de sus miembros y reitero siempre mi agradecimiento por el papel fundamental que han tenido para el avance de este gran proyecto nacional. Eh y entonces hicimos equipos de trabajo pues por criterio transversal y además eh llevamos ya unas cinco o seis sesiones con un grupo de trabajo para posgrados eh justamente por las razones expuestas por el señor subsecretario y pues tiene una conformación plural, equilibrada, eh ha sido realmente un espacio de reflexión e insisto también de trabajo con una agenda específica de trabajo sumamente útil y fructífero. Participa en ese grupo de trabajo y también nuestro reconocimiento CONACYT"
María José Risaussi,"esta es la actualización que que proponemos eh pues ustedes saben que prefiero siempre ser lo más transparente que se pueda. En la carpeta habíamos planteado añadir la versión extensa el texto in extenso de la propuesta de los lineamientos, pero eh gracias pues al a la asesoría que por fortuna tenemos en el equipo de la subsecretaría que también valoramos muchísimo. Se consideró más conveniente proponerles eh en este pleno convocar a una sesión extraordinaria para el mes de junio antes de que termine junio con el fin de unir ahí varios de los documentos normativos que guiarán el trabajo del SEAES. Eso así lo estamos planteando en el acuerdo propuesto que sometemos a su consideración. Entonces bueno, ahí pueden ver estrictamente eh en qué consiste esta actualización y ya verán que es pues en favor de la certidumbre, de la legitimidad de cada uno de los pasos siguientes eh desde el SEAES"
María José Risaussi,ahora como les digo eh pues presentaré un bosquejo realmente muy rápido de esta propuesta que tendrán y que podrán leer con toda calma en la carpeta de esta sesión extraordinaria si ustedes así lo consideran y son los lineamientos para la integración y funcionamiento del Comité Técnico del SEAES.
María José Risaussi,Esta es un simple recordatorio de cómo está planteada la estructura de coordinación y operación del SEAES en el texto de política nacional de evaluación y acreditación de la educación superior aprobado por este órgano colegiado en diciembre pasado. Y este es el contexto eh general que que impulsa y que sustenta la necesidad de integrar este comité técnico en términos de una instancia encargada entre otras tareas de la formulación de las propuestas de lineamientos y orientaciones que requerirá la instrumentación del SEAES.
María José Risaussi,"El comité técnico no es una instancia evaluadora ni un órgano directivo de toma de decisiones, sino un órgano de apoyo a la coordinación ejecutiva para la formulación de propuestas. Una propuesta de buenas prácticas de funcionamiento se basa en un análisis de buenas prácticas de instancias similares que evitan la sobrerregulación. Bueno ahí pueden leer más detalles, pero me interesa que podamos subrayar y tener en mente también previo a a la lectura del documento in extenso para la siguiente sesión que este comité técnico no es una instancia evaluadora ni un órgano directivo de toma de decisiones, sino realmente un órgano de apoyo a la coordinación ejecutiva para la formulación de diversas eh propuestas."
María José Risaussi,"como todos los documentos del SEAES, esta propuesta de lineamientos y también agradecemos muchísimo el trabajo constante decidido dispuesto de la comisión para instrumentar la conformación y funcionamiento del SEAES quien eh eh este órgano el 9 de mayo aprobó esta propuesta de lineamientos, digamos pues ese acuerdo no lo vamos a desaprovechar y la integraremos así a la carpeta de la sesión ordinaria en cuestión. Entonces bueno ya tiene esa previa discusión y validación antes de que se ha sometido al pleno de este órgano colegiado."
María José Risaussi,"Los aspectos relevantes de de este comité técnico pues están ahí definidas sus funciones eh la integración, ¿no? Que es la persona titular de la coordinación ejecutiva, especialistas en evaluación y mejora continua de la educación superior, la manera en que serán propuestas estas personas integrantes, puede haber invitados, contará con una secretaría técnica, sesionará por lo menos una vez al mes, modalidad presencial, virtual o híbrida."
María José Risaussi,"Tendremos la metodología de trabajo que que pueden ver ahí para eh entrar nos siempre en un enfoque participativo en este trabajo que propicie el análisis, la deliberación y los consensos y si es necesario, la presidencia podrá solicitar una votación. Las propuestas serán presentadas al CONACES. Los lineamientos se pueden actualizar a propuesta del CT con aprobación del CONACES. Esa digamos es la riqueza y la importancia del comité técnico que quisiéramos ya estar en posibilidad de integrar a la brevedad."
 Luis Armando González,"tenemos previsto un espacio para intervenciones de las y los integrantes del consejo, así que les pediría solicitaran eh levantando la mano lo ha hecho ya el maestro Alejandro Miranda."
Alejandro Miranda,"hace 108 años se eh escribió un libro llamado 8000 kilómetros en campaña por el general Álvaro Obregón. Él lo que da constancia es de sus batallas, de sus luchas, de sus guerras, de la guerra interna y de todo aquello que no queremos volver a vivir en los días de la historia mexicana. María José nos ha mostrado un mapa donde esos 8000 kilómetros un logro genial hace ciento y pico de años. Queda minimizado con el esfuerzo esta vez de construcción, esta vez de articulación, esta vez de propuesta y de transformación de una realidad que tiene que cambiar necesariamente."
Alejandro Miranda,"los más viejos creo que no hay nadie más que yo, los más viejos recordarán que hacia la década final del siglo pasado éramos por ahí de un millón y pico de estudiantes y este millón y pico de estudiantes empezaba a tener la necesidad de acercarse a la evaluación y a la acreditación"
Alejandro Miranda,"Hoy superamos los 5.2 millones de estudiantes, estamos creciendo significativamente y aspiramos, como mencionaba el subsecretario Concheiro, al acercarnos mucho más a la universalización. Es decir, los parámetros, los modelos, las maneras de hacer las cosas de antes son respetables, hay que conservarlas. El viejo Mahler decía que la lógica del respeto no es venerar las cenizas, sino conservar la antorcha encendida. Creo que es lo que estaremos haciendo y quiero felicitar todo este preámbulo es para felicitar de todo corazón con mucha gratitud y con mucho respeto el extraordinario trabajo que María José ha llevado en sus hombros. Valga la pena señalar que los 8000 kilómetros en campaña de Álvaro Obregón se refieren cinco años de guerra. María José lo ha hecho en poco más de un año Muchas felicidades,"
Alejandro Miranda,"muy muy buenas tardes ya creo, ya. Es que el subsecretario siempre es como muy preciso en los minutos. Todavía son buenos días porque faltan como cinco minutos, pero me da muchísimo gusto saludarlos a todos y y comentarles que bueno en ALPES, Alianza para la Educación Superior eh estamos muy conscientes de de de todo el trabajo que se ha hecho en la parte de los CONACES, estamos muy de la mano y muy alineados. También felicitamos a todo el equipo, a todo el equipo de Majo porque ya Majo en especial que ha subido y bajado aviones creo que más de todo lo que había hecho en toda su vida, ¿no? Y y recorrido kilómetros también más de lo que lo había hecho en su vida, pero bueno nos ha demostrado ella claramente que sí se puede y dentro de lo que sí se puede yo únicamente quiero hacer una referencia muy muy clara"
Participación Maria Luisa de ALPES,"a que todos los indicadores que se manejan y y la parte más bien esencial de los criterios que se están manejando en  este cambio de educación superior no los voy a repetir, pero los conocen entre la excelencia, la inclusión, la equidad Eso era necesario."
